name,num_files,usage_bytes,avg_file_size
DBS_Exomes,1211072,370939389124135,306290120.7559377
DanishPanGenome2,8036533,329343493482643,40980792.772535495
MammalianMutation,21433107,302308475397127,14104743.44186902
RetroVirus,410808,245870298559657,598504163.8908128
MolGen,10145219,190988717690656,18825489.887468766
iPSYCH_BAM,14816,190045887404725,12827071234.120209
ExomeSeqClinical,988118,154101864073867,155954920.43851745
IGdata,68092513,146507771810822,2151598.8374642893
CUP_classification,6093162,114080331186129,18722681.45605336
simons,1234561,110074017628639,89160452.68612811
